Datum,Prozentsatz
01.04.2023,-15.19326
01.07.2023,-14.99107
01.01.2023,-13.88838
01.10.2022,-11.19169
01.01.2006,-3.25665
01.07.2007,-3.23531
01.04.2004,-3.09305
01.07.2004,-2.88203
01.10.2004,-2.87337
01.01.2004,-2.83577
01.10.2003,-2.80697
01.07.2005,-2.80629
01.10.2007,-2.79858
01.04.2007,-2.7799
01.07.2022,-2.77437
01.01.2010,-2.55463
01.04.2001,-2.50845
01.07.2003,-2.48173
01.01.2002,-2.44554
01.04.2005,-2.42165
01.10.2005,-2.32658
01.01.2005,-2.15614
01.01.2003,-2.14656
01.07.2001,-2.13345
01.10.2001,-2.10035
01.04.2003,-2.08189
01.10.2002,-2.01263
01.07.2002,-1.98907
01.04.2002,-1.90899
01.10.2009,-1.60753
01.04.2009,-1.59825
01.01.2001,-1.55673
01.04.2006,-1.54095
01.10.2000,-1.20203
01.10.2006,-0.99149
01.01.2007,-0.97056
01.07.2000,-0.69956
01.07.2009,-0.67384
01.04.2010,-0.33618
01.07.2008,-0.2127
01.07.2006,-0.0423
01.10.2011,-0.04139
01.01.2008,-0.0062
01.01.2009,0.09258
01.04.2011,0.1341
01.10.2010,0.23294
01.07.2011,0.25056
01.01.2012,0.42416
01.07.2010,0.54125
01.07.2012,0.61103
01.10.2013,0.95975
01.04.2008,1.06504
01.01.2014,1.0901
01.01.2011,1.09609
01.10.2012,1.31746
01.04.2013,1.48328
01.04.2012,1.55069
01.01.2013,1.6096
01.10.2008,1.72773
01.07.2013,1.9298
01.07.2014,1.95608
01.04.2014,2.1236
01.10.2014,2.75059
01.04.2022,2.76972
01.04.2015,3.34386
01.07.2015,3.57898
01.07.2019,3.80014
01.01.2019,3.90736
01.07.2017,4.01284
01.10.2018,4.17768
01.04.2019,4.20802
01.01.2015,4.23948
01.04.2017,4.36541
01.10.2017,4.76376
01.04.2018,4.79159
01.07.2018,5.03075
01.01.2017,5.06137
01.10.2019,5.22749
01.01.2020,5.28659
01.01.2018,5.30081
01.10.2015,5.37086
01.04.2020,5.76394
01.01.2016,5.8942
01.01.2022,6.50686
01.04.2016,6.8583
01.10.2016,7.35974
01.10.2021,7.53196
01.01.2021,7.69682
01.07.2016,7.88836
01.07.2021,8.56332
01.10.2020,8.85497
01.07.2020,8.8797
01.04.2021,9.07686
