Jahr,Lebendgeborene (Anzahl) Insgesamt
2006,672724
2012,673544
2010,677947
2013,682069
2008,682514
2007,684862
2005,685795
2004,705622
2003,706721
2002,719250
2001,734475
2015,737575
2022,738819
1995,765221
1994,769603
1999,770744
2019,778090
1975,782310
2017,784901
1998,785034
2018,787523
2016,792141
2021,795492
1996,796013
1976,798334
1993,798447
1977,805496
1974,805500
1978,808619
1992,809114
1997,812173
1984,812292
1985,813803
1973,815969
1979,817217
1991,830019
1986,848232
1982,861275
1980,865789
1987,867969
1989,880459
1988,892993
1990,905675
1971,1013396
1970,1047737
1953,1095029
1951,1106380
1954,1109743
1955,1113408
1950,1116701
1956,1137169
1969,1142366
1957,1165555
1958,1175870
1968,1214968
1959,1243922
1960,1261614
1967,1272276
1961,1313505
1962,1316534
1965,1325386
1963,1355595
1964,1357304
