Lebendgeborene (Anzahl),
,Insgesamt
1950,1116701
1951,1106380
1952,
1953,1095029
1954,1109743
1955,1113408
1956,1137169
1957,1165555
1958,1175870
1959,1243922
1960,1261614
1961,1313505
1962,1316534
1963,1355595
1964,1357304
1965,1325386
966,1318303
1967,1272276
1968,1214968
1969,1142366
1970,1047737
1971,1013396
,901657
1973,815969
1974,805500
1975,782310
1976,798334
1977,805496
1978,808619
1979,817217
1980,865789
,862100
1982,861275
1983,NaN
1984,812292
1985,813803
1986,848232
1987,867969
1988,892993
1989,880459
1990,905675
1991,830019
1992,809114
1993,798447
1994,769603
1995,765221
1996,796013
1997,812173
1998,785034
1999,770744
2000,
2001,734475
2002,719250
2003,706721
2004,705622
2005,685795
2006,672724
2007,684862
2008,682514
2109,665126
2010,677947
2111,662685
2012,673544
2013,682069
2014,
2015,737575
2016,792141
2017,784901
2018,787523
2019,778090
wuda,773144
2021,795492
2022,738819
