ID,Year,Deceased
NL140002,1950,748329
SS470003,1951,752697
LW230004,1952,767639
OB500005,1953,790654
ZR170006,1954,775291
ZU580007,1955,795938
CA480008,1956,812111
OI740009,1957,840195
UB370010,1958,818418
UZ280011,1959,835402
FN310012,1960,876721
NQ630013,1961,850300
ZO740014,1962,878814
UH670015,1963,895070
YV020016,1964,870319
QX520017,1965,907882
XA990018,1966,911984
NY640019,1967,914417
DB280020,1968,976521
LD070021,1969,988092
SR360022,1970,975664
HI600023,1971,965623
WQ130024,1972,965689
VN830025,1973,962988
IN730026,1974,956573
IR870027,1975,989649
BS390028,1976,966873
PR870029,1977,931155
HF430030,1978,955550
UA030031,1979,944474
GX300032,1980,952371
XF180033,1981,954436
MN630034,1982,943832
FY100035,1983,941032
JL420036,1984,917299
AA240037,1985,929649
EX470038,1986,925426
WM560039,1987,901291
DZ490040,1988,900627
VR080041,1989,903441
DU430042,1990,921445
LS020043,1991,911245
RD880044,1992,885443
PT360045,1993,897270
RZ940046,1994,884661
ZR000047,1995,884588
ZJ510048,1996,882843
VC690049,1997,860389
IA230050,1998,852382
HE130051,1999,846330
AV270052,2000,838797
EN220053,2001,828541
VQ810054,2002,841686
RJ520055,2003,853946
WU790056,2004,818271
CI550057,2005,830227
XY790058,2006,821627
VG350059,2007,827155
YV930060,2008,844439
WL130061,2009,854544
ZX480062,2010,858768
NM680063,2011,852328
WU510064,2012,869582
QW460065,2013,893825
CU420066,2014,868356
PQ300067,2015,925200
EA950068,2016,910902
YY330069,2017,932272
WD560070,2018,954874
IM420071,2019,939520
JL460072,2020,985572
SZ490073,2021,1023687
XU430074,2022,1066341
