ID,Year,Deceased
NL140002,1950,748329
SS470003,1951,752697
LW230004,1952,767639
ZR170006,1954,775291
OB500005,1953,790654
ZU580007,1955,795938
CA480008,1956,812111
WU790056,2004,818271
UB370010,1958,818418
XY790058,2006,821627
VG350059,2007,827155
EN220053,2001,828541
CI550057,2005,830227
UZ280011,1959,835402
AV270052,2000,838797
OI740009,1957,840195
VQ810054,2002,841686
YV930060,2008,844439
HE130051,1999,846330
NQ630013,1961,850300
NM680063,2011,852328
IA230050,1998,852382
RJ520055,2003,853946
WL130061,2009,854544
ZX480062,2010,858768
VC690049,1997,860389
CU420066,2014,868356
WU510064,2012,869582
YV020016,1964,870319
FN310012,1960,876721
ZO740014,1962,878814
ZJ510048,1996,882843
ZR000047,1995,884588
RZ940046,1994,884661
RD880044,1992,885443
QW460065,2013,893825
UH670015,1963,895070
PT360045,1993,897270
DZ490040,1988,900627
WM560039,1987,901291
VR080041,1989,903441
QX520017,1965,907882
EA950068,2016,910902
LS020043,1991,911245
XA990018,1966,911984
NY640019,1967,914417
JL420036,1984,917299
DU430042,1990,921445
PQ300067,2015,925200
EX470038,1986,925426
AA240037,1985,929649
PR870029,1977,931155
YY330069,2017,932272
IM420071,2019,939520
FY100035,1983,941032
MN630034,1982,943832
UA030031,1979,944474
GX300032,1980,952371
XF180033,1981,954436
WD560070,2018,954874
HF430030,1978,955550
IN730026,1974,956573
VN830025,1973,962988
HI600023,1971,965623
WQ130024,1972,965689
BS390028,1976,966873
SR360022,1970,975664
DB280020,1968,976521
JL460072,2020,985572
LD070021,1969,988092
IR870027,1975,989649
SZ490073,2021,1023687
XU430074,2022,1066341
