,Gestorbene
,Anzahl
AA240037,929649
AV270052,838797
BS390028,966873
CA480008,812111
CI550057,830227
CU420066,868356
DB280020,976521
DU430042,921445
DZ490040,900627
EA950068,910902
EN220053,828541
EX470038,925426
FN310012,876721
FY100035,941032
GX300032,952371
HE130051,846330
HF430030,955550
HI600023,965623
IA230050,852382
IM420071,939520
IN730026,956573
IR870027,989649
JL420036,917299
JL460072,985572
LD070021,988092
LS020043,911245
LW230004,767639
MN630034,943832
NL140002,748329
NM680063,852328
NQ630013,850300
NY640019,914417
OB500005,790654
OI740009,840195
PQ300067,925200
PR870029,931155
PT360045,897270
QW460065,893825
QX520017,907882
RD880044,885443
RJ520055,853946
RZ940046,884661
SR360022,975664
SS470003,752697
SZ490073,1023687
UA030031,944474
UB370010,818418
UH670015,895070
UZ280011,835402
VC690049,860389
VG350059,827155
VN830025,962988
VQ810054,841686
VR080041,903441
WD560070,954874
WL130061,854544
WM560039,901291
WQ130024,965689
WU510064,869582
WU790056,818271
XA990018,911984
XF180033,954436
XU430074,1066341
XY790058,821627
YV020016,870319
YV930060,844439
YY330069,932272
ZJ510048,882843
ZO740014,878814
ZR000047,884588
ZR170006,775291
ZU580007,795938
ZX480062,858768
