"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.492470300E-2,9.538985491E-1,-1.685299873E-1,1.435470581E-2,9.687780221E-1
6.173549400E-2,9.044474363E-1,-1.213006973E-1,-2.730712891E-1,9.525266155E-1
7.859504200E-2,8.330289125E-1,-1.808114052E-1,-6.169199944E-1,1.052245320E0
9.544702200E-2,1.155721903E0,-7.958507538E-2,-6.383237839E-1,1.322680670E0
1.122791030E-1,1.142883420E0,8.031463623E-2,-8.284091949E-2,1.148692984E0
1.291188550E-1,6.995230913E-1,-6.448698044E-2,4.016304016E-2,7.036364088E-1
1.459591870E-1,7.187145948E-1,-1.150178909E-1,2.296266556E-1,7.632222383E-1
1.627925310E-1,5.237060785E-1,-1.461720467E-1,4.014549255E-1,6.758700919E-1
1.796369220E-1,3.331293464E-1,-3.716816902E-1,4.224596024E-1,6.539071462E-1
1.964508660E-1,3.957094848E-1,-5.879693031E-1,3.192825317E-1,7.773256929E-1
2.132831320E-1,6.530475020E-1,-6.721944809E-1,6.671714783E-2,9.395571499E-1
2.301538600E-1,8.138197660E-1,-6.167063713E-1,-2.113838196E-1,1.042742768E0
2.469885050E-1,8.637697697E-1,-4.753322601E-1,-2.026185989E-1,1.006525345E0
2.638266500E-1,8.446683884E-1,-2.682819366E-1,2.546291351E-1,9.221040507E-1
2.806783350E-1,6.465734243E-1,-7.779169083E-2,7.321023941E-1,9.798380763E-1
2.974855240E-1,5.595859289E-1,-2.169466019E-2,9.524545670E-1,1.104887674E0
3.143440250E-1,5.634058714E-1,-1.826910973E-1,9.075918198E-1,1.083755103E0
3.311702580E-1,5.721046925E-1,-2.599983215E-1,5.449399948E-1,8.317827266E-1
3.480229400E-1,6.373006105E-1,-1.757817268E-1,4.590587616E-1,8.048516822E-1
3.648707690E-1,7.131656408E-1,-7.095432281E-2,6.133022308E-1,9.432811742E-1
3.817083440E-1,7.375745773E-1,-1.271471977E-1,7.703390121E-1,1.074059989E0
3.985399490E-1,8.141962886E-1,-2.760219574E-1,7.411613464E-1,1.135087600E0
4.153933010E-1,7.426236868E-1,-5.110921860E-1,3.927631378E-1,9.833453336E-1
4.322253420E-1,5.769900680E-1,-6.990888119E-1,2.046375275E-1,9.292573503E-1
4.490644130E-1,5.559537411E-1,-7.421636581E-1,2.566270828E-1,9.621584679E-1
4.658773720E-1,5.984197855E-1,-6.611452103E-1,2.522821426E-1,9.267499707E-1
4.827331860E-1,7.542714477E-1,-5.511517525E-1,1.440629959E-1,9.452236866E-1
4.995889500E-1,1.880242467E0,-5.032949448E-1,-2.884340286E-1,1.967691979E0
5.164213890E-1,1.933220506E0,2.253627777E-2,-2.171039581E-2,1.933473752E0
5.332357700E-1,2.187160492E0,1.692175865E-1,2.456979752E-1,2.207413216E0
5.501233630E-1,2.468527555E0,4.079484940E-2,2.548847198E-1,2.481986852E0
5.669304010E-1,2.736567736E0,1.748647690E-1,-1.337833405E-1,2.745410469E0
5.837887280E-1,2.972600937E0,4.035158157E-1,-3.206529617E-1,3.016952049E0
6.006176260E-1,3.227797031E0,4.786105156E-1,-3.507003784E-1,3.281879409E0
6.174575200E-1,3.390188932E0,4.692106247E-1,-3.369674683E-1,3.439053167E0
